,rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_rad
1,-1.3229242126653373,-0.7966720612777453,-0.7966714764951063,-1.0061215167197568,-1.006121516725305,-0.21735551665023226,-0.5289078965503915,-0.19076721341734695,-0.052774350977430044,0.020577678007637656,0.81643978126305,-0.1477726871138631,0.11320888077899476,-0.46748538696826647,0.05342652746690057,2.5693473530426214,3.194116486799497,-0.9223582052009063,-0.14864336624841976,0.8777906151115761,0.1712228979704601
7,-1.320417126073243,-0.7937165274346064,-0.7937159434039408,-1.168293645856343,-1.1682936458619284,-0.21735551665023226,-0.6217598274329177,-0.1681551710260861,-0.01021205782383265,0.2069040343093611,-0.2908905991299549,-0.060721041119615855,0.5733585638677382,-0.35262654250094244,0.32006448688225014,-0.2059373273154554,-0.14553874865542574,-1.2454979416079373,-0.17821166841732508,0.5683109974151921,0.40751911261934737
12,-1.3183278872464974,-0.7917461715391806,-0.7917455880098304,-0.8336358718547684,-0.8336358718602772,-0.21735551665023226,-0.6101168776908078,-0.7790102749499874,1.149336054827674,-1.1526472517795041,0.8114702270380154,-0.13851565046273412,-0.45686220055712334,-0.5440579499464825,-0.6782841201692151,-0.19793898264184664,-0.04642484011134189,-1.6236575682809198,-0.7207739013028189,-0.20362518824395334,-0.19520746387636487
20,-1.314985105123705,-0.7878054597483288,-0.7878048772216099,0.7256404115673303,0.7256404115621768,-0.21735551665023226,-0.5518889684397458,-1.2533508660755508,-0.10705669586897455,0.1989118781590339,-0.3140599171020632,-0.09103920752347948,0.4300011226825224,0.9746022642613388,1.0329821543770814,-0.14257488730177448,0.20841658142363176,-0.20524077166784485,0.09522750364867938,1.2532142019795525,0.01781186133819644
29,-1.311224475235563,-0.7838647479574772,-0.7838641664333892,-1.4761292245588646,-1.4761292245645201,-0.21735551665023226,-0.10798969054393143,-0.7103694292252033,-0.714464599405971,0.3012075447030739,0.8911381200737118,-0.12454968745018254,-0.8392483412687347,-0.4473813935994685,-0.5711795213357984,-0.2240743823480751,-0.49606354716499057,-0.4565420780794685,-0.7120125482880266,-0.9490532041172901,-0.2842466172223223
30,-1.310806627470214,-0.7838598220677386,-0.7838641664333892,-1.4761292245588646,-1.4761292244959507,2.5848105685096,-0.10798969054393143,-0.7103694292252033,-0.714464599405971,0.3012075447030739,0.8831538656062481,0.008508144958408627,-0.15048553735699424,-0.43732939691506945,-0.579465237126159,-0.23328286655182642,-1.0327291007451518,-0.4565420780794685,-0.7120125482880266,-0.9490532041172901,-0.2842466172223223
31,-1.310388779704865,-0.7838548961780001,-0.7838641664333892,-1.4761292245588646,-1.4761292244273816,5.386976653669432,-0.10798969054393143,-0.7103694292252033,-0.714464599405971,0.3012075447030739,0.8832134055979386,-0.0948662421243237,-1.1391934332948153,-0.4731026792330777,-0.5976455746477316,-0.2331483764791533,-1.0097636829117667,-0.4565420780794685,-0.7120125482880266,-0.9490532041172901,-0.2842466172223223
37,-1.3078816931127704,-0.7814018030881948,-0.7814012221907514,-0.6102967834503625,-0.6102967834558206,-0.21735551665023226,-0.18273711082600838,-0.987796693193583,-0.13443819746863497,0.23676894253161687,-0.2371744390358399,-0.08364752632672283,0.48901113901739063,-0.3044491482491216,0.31996668667335965,0.24859990941945223,1.1886960024813602,-0.7224656277616855,0.5366045650279977,3.048718313087266,0.2836759583094117
40,-1.3066281498167232,-0.7799240361666254,-0.7799234556451686,0.8627294880525971,0.862729488047475,-0.21735551665023226,-0.32512445646515803,-1.3976691792653764,-0.0892242726504713,0.33959545339560476,-0.23261965215116137,-0.07660273239374048,-0.2788350826140546,-0.1203573285953198,1.531546818873802,-0.14043754498220995,0.2194178687036956,-0.514379858141696,-0.027053690620435757,0.15567150715334666,0.31518554484541755
41,-1.306210302051374,-0.779431447192769,-0.7794308667966411,-0.6131604550635138,-0.6131604550689725,-0.21735551665023226,-0.195532916358946,-0.9813135051477166,0.0749846272295286,-0.3941985144287144,0.8900954938741149,-0.11602770003725647,-0.011914412970676254,-0.35846556998673307,-0.3384371953195802,-0.2048160092411847,-0.1310342742343403,-0.4120241552475386,-0.4117191671143451,0.029659764082878043,-0.11301747617240411
